Date,Question,AcceptableAnswers,Difficulty,Fact
2026-06-17,Who did Alexander Volkanovski defeat to win the UFC featherweight championship at UFC 245?,Max Holloway,Medium,"Volkanovski defeated Holloway by unanimous decision at UFC 245 in December 2019, ending Holloway's 14-fight winning streak. He went on to defeat Holloway twice more, establishing himself as one of the greatest featherweights of all time."
2026-06-17,"Joining the UFC in 2010, what undefeated fighter nabbed wins over Darren Elkins and Efrain Escudero before losing to Jim Miller?",Charles Oliveira,Medium,Oliveira entered the UFC undefeated and looked promising with early wins before struggling through a difficult stretch mid-career. He lost to Miller in 2012 and went on to lose several more before turning his career around to become one of the most dominant lightweight champions in UFC history.
2026-06-17,"What fighter had this four-fight winning streak: Unanimous Decision over Kendall Grove, Unanimous Decision over Nick Pace, TKO over Yushin Okami, and Split Decision over Hector Lombard?",Tim Boetsch,Hard,"Boetsch went on this impressive middleweight run, with his TKO of the previously unbeaten Okami being the highlight. The streak established him as a legitimate contender in the division and earned him a place among the top middleweights during his tenure."
2026-06-20,Who did Carla Esparza defeat to win the inaugural UFC women's strawweight title on The Ultimate Fighter 20 finale?,Rose Namajunas,Easy,Esparza defeated Namajunas by rear naked choke to win the first ever UFC strawweight title at The Ultimate Fighter 20 finale beginning a new era for women's MMA in the UFC.
2026-06-20,Who did Conor McGregor defeat at UFC 194 in 13 seconds?,Jose Aldo,Easy,McGregor's knockout of Aldo in 13 seconds remains one of the most shocking moments in UFC history ending Aldo's decade-long unbeaten run.
2026-06-20,Who did Frankie Edgar defeat to win the UFC lightweight title at UFC 112?,BJ Penn,Medium,Edgar defeated Penn by unanimous decision at UFC 112 in Abu Dhabi in a massive upset to win the lightweight championship proving his relentless style could outwork any opponent.
2026-06-20,Who did Conor McGregor stop in the second round at UFC 189 to win the interim UFC featherweight title?,Chad Mendes,Medium,McGregor stopped Mendes with ground-and-pound at 4:57 of round 2 at UFC 189 in Las Vegas. Mendes had rocked McGregor early but McGregor's superior striking and conditioning carried him to the finish.
2026-06-20,Who is the only fighter to record wins over both Sean Strickland and Benoit Saint-Denis?,Elizeu Zaleski dos Santos,Hard,"Zaleski dos Santos holds victories over both Strickland (before his middleweight title run) and Saint-Denis, making him the only fighter to have beaten both men. The Brazilian welterweight is one of the most underrated finishers in the division."
2026-06-22,Which fighter is nicknamed The Axe Murderer?,Wanderlei Silva,Easy,Silva was one of the most feared strikers in MMA history during his time in Pride FC before joining the UFC.
2026-06-22,Who did Luke Rockhold defeat at UFC 194 to become UFC middleweight champion?,Chris Weidman,Easy,Rockhold knocked out Weidman in the fourth round at UFC 194 in a stunning upset that ended Weidman's title reign and signaled a new era for the middleweight division.
2026-06-22,Who did Georges St-Pierre submit to win the UFC middleweight title at UFC 217?,Michael Bisping,Medium,"GSP came out of a four-year retirement to challenge champion Bisping at UFC 217, submitting him with a rear naked choke in round 3. It was his first fight since 2013 and he won a title in a new weight class, becoming a two-division champion."
2026-06-22,Who did TJ Dillashaw defeat at UFC 227 to retain the UFC bantamweight title?,Cody Garbrandt,Medium,"Dillashaw dominated the rematch against Garbrandt at UFC 227 in August 2018, stopping him in round 1 to retain his bantamweight title. He had won their first fight at UFC 217 and the rematch was even more one-sided."
2026-06-22,"What fighter had this four-fight winning streak: Submission over Trevor Smith, Unanimous Decision over Roger Gracie, KO over Rafael Natal, and Unanimous Decision over Michael Bisping?",Tim Kennedy,Hard,"Kennedy went on a strong run through the middleweight division defeating Smith, Gracie, Natal, and Bisping to earn a shot at the Strikeforce middleweight title against Luke Rockhold. He later joined the UFC where he continued to compete at the highest level."
2026-06-24,Who did Robert Whittaker defeat to win his first UFC middleweight title?,Yoel Romero,Easy,Whittaker defeated Romero by split decision at UFC 213 to win the interim middleweight title which was later upgraded to undisputed.
2026-06-24,Who did Johny Hendricks defeat by split decision to win the UFC welterweight title at UFC 171?,Robbie Lawler,Easy,Hendricks defeated Lawler by split decision at UFC 171 to win the welterweight title in a rematch of their earlier fight setting up a second bout between the two warriors.
2026-06-24,"What fighter was a perfect 16-0, with eight straight wins in the UFC before falling short against Georges St-Pierre for the welterweight title at UFC 87?",Jon Fitch,Medium,"Fitch entered UFC 87 undefeated at 16-0 after winning his first eight UFC fights, establishing himself as the top welterweight contender. GSP dominated the fight from start to finish, winning by unanimous decision in what remains one of the most lopsided title fights in welterweight history."
2026-06-24,Who did Germaine de Randamie defeat to win the inaugural UFC women's featherweight title at UFC 208?,Holly Holm,Medium,De Randamie defeated Holm by majority decision at UFC 208 to become the first ever UFC women's featherweight champion before the title was later vacated.
2026-06-24,"After losing to Vitor Belfort in his UFC debut, who did Luke Rockhold knock out at UFC Fight Night 35 to score his first UFC victory?",Costas Philippou,Hard,"Rockhold lost to Belfort via head kick KO in his UFC debut at UFC on FX 8. He rebounded with a second-round TKO of Philippou at UFC Fight Night 35 in January 2014, beginning his climb toward the middleweight title which he captured at UFC 194."
2026-06-27,Who did Benson Henderson defeat by unanimous decision at UFC on Fox 5 to make his first UFC lightweight title defense?,Nate Diaz,Easy,"Henderson made his first title defense against Diaz at UFC on Fox 5 in December 2012, winning by unanimous decision. Diaz had many fans thinking he had won, but the judges favored Henderson's wrestling and control time."
2026-06-27,Who did Kamaru Usman defeat to win his fourth UFC welterweight title defense at UFC 261?,Jorge Masvidal,Easy,Usman knocked out Masvidal in the second round at UFC 261 in front of fans for the first time during the pandemic era cementing his status as the dominant welterweight champion.
2026-06-27,Who did Dricus du Plessis defeat at UFC 305 to make his first UFC middleweight title defense?,Israel Adesanya,Medium,Du Plessis defeated Adesanya by split decision at UFC 305 in Perth to retain his middleweight title in front of a huge crowd making his first successful championship defense.
2026-06-27,Who did Frankie Edgar defeat by KO at UFC 136 in their third fight?,Gray Maynard,Medium,"Edgar knocked out Maynard in round 4 at UFC 136 in October 2011, winning their trilogy. Their first fight at UFC 125 was a draw, their second at UFC 130 went to Maynard via TKO before Edgar mounted a comeback. The third fight saw Edgar land the decisive finish to close out the rivalry."
2026-06-27,Who defeated Brendan Schaub by knockout in the main event of TUF: Heavyweights Finale?,Roy Nelson,Hard,Nelson knocked out Schaub in the third round to win The Ultimate Fighter: Heavyweights season finale in December 2009. The win launched Nelson's UFC career and was considered one of the biggest knockouts of that year.
2026-06-29,Which fighter is nicknamed The Dragon?,Lyoto Machida,Easy,Machida was the first karate practitioner to win a UFC world title and his elusive style baffled opponents throughout his career.
2026-06-29,Who did Yair Rodriguez finish with a last-second elbow at UFC Fight Night 139 in one of the most dramatic endings in UFC history?,Chan Sung Jung,Easy,Rodriguez caught Jung with a spinning back elbow with just one second remaining in round 5 at UFC Fight Night 139 in November 2018 in Denver. Jung had been dominating the fight before the stunning last-second finish.
2026-06-29,Who did Darren Till defeat to earn his UFC welterweight title shot at UFC Fight Night 130?,Stephen Thompson,Medium,"Till dominated Thompson over five rounds at UFC Fight Night 130 in Liverpool, England in May 2018, earning a unanimous decision and a welterweight title shot against Tyron Woodley. The hometown performance made Till a star in the UK."
2026-06-29,Who did Stipe Miocic defeat by unanimous decision at UFC 220 to break the record for most consecutive heavyweight title defenses?,Francis Ngannou,Medium,Miocic dominated Ngannou over five rounds at UFC 220 to win by unanimous decision and set the UFC record for most consecutive heavyweight title defenses with three.
2026-06-29,What WEC Light Heavyweight champion closed out the trilogy by decision against Steve Cantwell at UFC Fight Night: Diaz vs. Guillard?,Brian Stann,Hard,"Stann had won the WEC Light Heavyweight Championship and brought it into the UFC after the merger. He defeated Cantwell by unanimous decision in their trilogy fight at UFC Fight Night: Diaz vs. Guillard in January 2011, closing out their series."
2026-07-01,Who did Merab Dvalishvili defeat to win the UFC bantamweight championship at UFC 306?,Sean O'Malley,Easy,Dvalishvili dominated O'Malley with relentless wrestling pressure at UFC 306 in Las Vegas to win the bantamweight title and fulfill years of hard work alongside his training partner Aljamain Sterling.
2026-07-01,Who did Yoel Romero fight twice in back-to-back middleweight title fights?,Robert Whittaker,Easy,Romero fought Whittaker twice for the middleweight title losing both fights by split decision in two of the most brutal and competitive bouts in division history.
2026-07-01,Who defeated Julianna Pena by unanimous decision at UFC 277 to reclaim the UFC women's bantamweight title?,Amanda Nunes,Medium,"Nunes dominated the rematch with Pena at UFC 277 in Dallas, winning by scores of 50-45, 50-44, and 50-43 to reclaim the bantamweight title. She dropped Pena three times in round 2 on her way to the dominant win."
2026-07-01,Who did Chuck Liddell KO to win his first UFC light heavyweight title rematch at UFC 52?,Randy Couture,Medium,Liddell knocked out Couture in the second round at UFC 52 to win the light heavyweight title and avenge his earlier loss setting up a legendary rivalry that defined an era.
2026-07-01,"What fighter had this four-fight winning streak: Unanimous Decision over John Moraga, TKO over TJ Dillashaw, Unanimous Decision over Tim Elliott, and TKO over Jussier Formiga?",John Dodson,Hard,"Dodson went on this impressive flyweight run, with his win over Dillashaw being particularly notable as Dillashaw went on to become UFC bantamweight champion. Dodson's speed and power made him one of the most exciting flyweights during his UFC tenure."
2026-07-04,Who did Glover Teixeira submit to win the UFC light heavyweight title at UFC 267?,Jan Blachowicz,Easy,Teixeira submitted Blachowicz in the second round at UFC 267 to win the light heavyweight title at 42 years old becoming one of the oldest first-time UFC champions in history.
2026-07-04,Who did Amanda Nunes defeat to become the first woman to be a two-division UFC champion?,Cris Cyborg,Easy,Nunes knocked out Cyborg in the first round at UFC 232 to become the undisputed women's featherweight champion alongside her bantamweight title.
2026-07-04,Who did Henry Cejudo defeat by TKO to win the vacant UFC bantamweight title at UFC 238?,Marlon Moraes,Medium,"Cejudo stopped Moraes with a barrage of punches and elbows in round 3 at UFC 238 in June 2019 to win the vacant bantamweight title. He had vacated the flyweight title after winning it, becoming a simultaneous two-division champion before announcing his retirement."
2026-07-04,Who did Deiveson Figueiredo defeat to win his first UFC flyweight championship?,Joseph Benavidez,Medium,Figueiredo submitted Benavidez in the second round at UFC Fight Night 169 to win the vacant flyweight championship.
2026-07-04,Who is the only fighter to hold wins over Jared Cannonier and Derrick Lewis?,Shawn Jordan,Hard,"Jordan holds victories over both Cannonier and Lewis, two fighters who went on to have significant UFC careers at heavyweight and middleweight. The wins are among the most notable of Jordan's UFC tenure as a durable heavyweight contender."
2026-07-06,Who did Ciryl Gane defeat by TKO at UFC 265 to win the interim UFC heavyweight title?,Derrick Lewis,Easy,"Gane dominated Lewis with his Muay Thai and movement, stopping him in round 3 at UFC 265 in August 2021 to win the interim heavyweight title. He then faced Francis Ngannou for the undisputed title at UFC 270 but lost by unanimous decision."
2026-07-06,Which fighter is nicknamed Bullet?,Valentina Shevchenko,Easy,Shevchenko is from Bishkek Kyrgyzstan and is a former world Muay Thai champion who became one of the most dominant UFC champions.
2026-07-06,Who did Joanna Jedrzejczyk defeat by TKO in the third round to make her first UFC strawweight title defense at UFC Fight Night 69 in Berlin?,Jessica Penne,Medium,"Jedrzejczyk stopped Penne with punches and a knee at 4:22 of round 3 in Berlin, earning Fight of the Night in her first title defense. Both fighters were awarded Fight of the Night bonuses."
2026-07-06,Who did Francis Ngannou knock out at UFC 218 in a heavyweight title eliminator?,Alistair Overeem,Medium,"Ngannou destroyed Overeem with a left uppercut in round 1 at UFC 218 in December 2017, earning himself an immediate heavyweight title shot against Stipe Miocic. The finish was so spectacular it cemented Ngannou's reputation as the most dangerous puncher in UFC history."
2026-07-06,Who is the only fighter to hold wins over Fedor Emelianenko and Derrick Lewis?,Matt Mitrione,Hard,Mitrione defeated Fedor by TKO in round 1 at Bellator 172 in January 2017 and also holds a win over Derrick Lewis from their time together in the UFC. He is the only fighter to have beaten both the legendary Fedor and the UFC's all-time KO record holder.
2026-07-08,Who did Rose Namajunas defeat by split decision at UFC 268 to retain the UFC strawweight title?,Weili Zhang,Easy,Namajunas retained the strawweight title against Zhang by split decision at UFC 268 in November 2021 in New York. It was a close rematch of their UFC 261 fight where Rose had knocked Zhang out in round 1 to reclaim the title.
2026-07-08,Who did Georges St-Pierre defeat in his UFC debut?,Karo Parisyan,Easy,GSP defeated Parisyan by unanimous decision at UFC 46 in January 2004 beginning one of the greatest careers in UFC history.
2026-07-08,Who did Colby Covington defeat by decision to win the interim UFC welterweight title at UFC 225?,Rafael dos Anjos,Medium,"Covington dominated dos Anjos over five rounds at UFC 225 in June 2018, winning by unanimous decision to claim the interim welterweight title. He was later stripped of the interim title without a fight when the UFC declined to make the unification bout with Tyron Woodley at the time."
2026-07-08,Who did Dricus du Plessis defeat by TKO at UFC 290 to earn his UFC middleweight title shot?,Robert Whittaker,Medium,"Du Plessis stopped Whittaker via TKO at UFC 290 in July 2023, earning the middleweight title shot. The two met again after Du Plessis won the title, with du Plessis defending against Whittaker at UFC 305."
2026-07-08,Who did Georges St-Pierre defeat to make his fourth UFC welterweight title defense at UFC 111?,Dan Hardy,Hard,GSP dominated Hardy across all five rounds at UFC 111 but was unable to finish him. Hardy became the first British fighter to challenge for a UFC title and refused to tap despite being caught in an armbar and a kimura.
2026-07-11,Who did Dricus du Plessis defeat by split decision to win the UFC middleweight title at UFC 297?,Sean Strickland,Easy,Du Plessis defeated Strickland at UFC 297 in Toronto to become the first South African UFC champion in a close and competitive five round battle.
2026-07-11,Which fighter is nicknamed Platinum?,Mike Perry,Easy,Perry is known for his aggressive brawling style and colorful personality having competed in both the UFC and bare-knuckle boxing.
2026-07-11,Who did Forrest Griffin defeat in the light heavyweight final of The Ultimate Fighter Season 1 before Dana White gave both fighters UFC contracts?,Stephan Bonnar,Medium,"Griffin won a razor-close three-round fight with Bonnar at TUF 1 Finale on April 9, 2005. Dana White was so impressed he gave both fighters UFC contracts on the spot — widely credited as the moment that launched the UFC's mainstream success."
2026-07-11,Who did Cain Velasquez defeat by TKO at UFC 160 in his first title defense of his second reign?,Antonio Silva,Medium,"Velasquez won his second title reign at UFC 155, then made his first defense of that second reign at UFC 160 in May 2013, stopping Big Foot Silva with strikes in round 5. It was Cain's first title defense of his second championship run after reclaiming the belt from Junior dos Santos."
2026-07-11,Who did Junior dos Santos KO in the first round to win the UFC heavyweight title at UFC on Fox 1?,Cain Velasquez,Hard,Dos Santos landed a right hand that put Velasquez down at UFC on Fox 1 in just 64 seconds to win the heavyweight title in one of the most shocking upsets in division history.
2026-07-13,Who did Anderson Silva defeat to win his first UFC middleweight title?,Rich Franklin,Easy,Silva knocked out Franklin with devastating knees in the clinch at UFC 64 to begin his legendary championship reign.
2026-07-13,Who did Carla Esparza defeat to win the UFC strawweight title for the second time at UFC 274?,Rose Namajunas,Easy,Esparza defeated Namajunas by unanimous decision at UFC 274 using her wrestling to neutralize Namajunas's striking and win back the title she had originally won on TUF 20.
2026-07-13,Who did BJ Penn submit in the second round with a rear naked choke to win the vacant UFC lightweight title at UFC 80?,Joe Stevenson,Medium,"Penn defeated Stevenson at UFC 80 in January 2008, winning the vacant lightweight title. Penn dominated the fight with crisp striking and relentless ground-and-pound before finishing with an RNC."
2026-07-13,Who did Cheick Kongo score an insane comeback knockout victory over at UFC on Versus 4?,Pat Barry,Medium,Barry had Kongo nearly finished multiple times and looked moments away from stopping the fight when Kongo landed a wild right hand that floored Barry. Kongo finished with ground strikes in one of the most remarkable heavyweight comeback knockouts in UFC history at UFC on Versus 4 in June 2011.
2026-07-13,Who is the only fighter to hold victories over both Randy Couture and Alistair Overeem?,Chuck Liddell,Hard,"Liddell knocked out Overeem in the Pride 2003 middleweight Grand Prix quarterfinals, and also defeated Couture twice in their title trilogy at UFC 52 and UFC 57. No other fighter holds wins over both men, making Liddell uniquely positioned across both promotions' heavyweight legends."
2026-07-15,Who is the only fighter to hold wins over both Phil Baroni and Chris Weidman?,Brad Tavares,Easy,"Tavares defeated Baroni by TKO in the first round in 2011 and scored an upset split decision over former UFC middleweight champion Weidman in 2018, making him the only fighter to have wins over both men. Tavares has been a durable and consistent UFC middleweight throughout his career."
2026-07-15,Which fighter is nicknamed Rampage?,Quinton Jackson,Easy,Jackson earned his Rampage nickname for his explosive fighting style including his signature slam finishes popularized in Pride FC.
2026-07-15,Who did Quinton Jackson defeat by unanimous decision at UFC 75 to unify the UFC light heavyweight title?,Dan Henderson,Medium,"Jackson defeated Pride middleweight champion Henderson by unanimous decision at UFC 75 in London in September 2007, unifying the UFC and Pride light heavyweight titles. Henderson had entered as the underdog but gave Jackson a tough five rounds."
2026-07-15,What former UFC lightweight champion ended his career with seven consecutive losses?,BJ Penn,Medium,"Penn returned to fight numerous times after his prime, losing his final seven UFC bouts in a row. Despite ending his career with a long losing streak, Penn is considered one of the greatest lightweights in UFC history, having been the first simultaneous two-division UFC champion."
2026-07-15,"What fighter had this four-fight winning streak: Unanimous Decision over Mike Perry, TKO over Preston Parsons, Unanimous Decision over Kevin Lee, and Split Decision over Li Jingliang?",Daniel Rodriguez,Hard,"Rodriguez went on this impressive welterweight run to establish himself as a top contender in the division. His wins over Perry and Lee in particular showcased his striking and toughness, making him one of the more exciting welterweights during his UFC tenure."
2026-07-18,Who did Justin Gaethje stop by TKO in the fifth round to win the interim UFC lightweight title at UFC 249?,Tony Ferguson,Easy,"Gaethje finished Ferguson with a barrage of leg kicks and punches in round 5 at UFC 249 in May 2020, winning the interim lightweight title. Ferguson had been on a 12-fight winning streak entering the fight. Gaethje's calculated leg kick assault was widely praised as a masterclass in fight strategy."
2026-07-18,Who did Dan Henderson famously knock out at UFC 100?,Michael Bisping,Easy,"Henderson knocked Bisping unconscious with a massive overhand right in round 2 at UFC 100 in July 2009, then controversially jumped on the downed fighter for an extra shot. The highlight-reel knockout is one of the most celebrated in UFC history."
2026-07-18,Who did Islam Makhachev knock out to make his second UFC lightweight title defense at UFC 294?,Alexander Volkanovski,Medium,"Makhachev knocked out Volkanovski in round 1 at UFC 294 in Abu Dhabi in October 2023, finishing their rematch by KO after Volkanovski had put on a closer performance in their UFC 284 fight. Volkanovski had again taken the fight on short notice."
2026-07-18,Who did Khabib Nurmagomedov dominate by unanimous decision at UFC 219 to earn his UFC lightweight title shot?,Edson Barboza,Medium,"Khabib dominated Barboza completely at UFC 219 in December 2017, scoring 30-25 on all three judges' cards. The performance, which saw Khabib control Barboza on the mat for nearly all 15 minutes, earned him the Performance of the Night bonus and finally secured him a title shot."
2026-07-18,"Who is the only fighter to hold wins over Fabricio Werdum, Mirko Cro Cop, and Travis Browne?",Alexei Oleinik,Hard,"Oleinik holds victories over former UFC heavyweight champion Werdum, Pride legend Cro Cop, and Travis Browne across his long career. The Russian submission specialist is one of the most durable and experienced heavyweights in MMA history with over 70 professional fights."
2026-07-20,Who did Kevin Lee defeat at UFC Fight Night 112 to earn an interim lightweight title fight?,Michael Chiesa,Easy,"Lee submitted Chiesa with a rear naked choke in round 5 at UFC Fight Night 112 in June 2017, earning an interim lightweight title fight against Tony Ferguson. The win was controversial as Lee missed weight, but the result stood and he went on to fight Ferguson."
2026-07-20,Who did Alexander Volkanovski defeat by unanimous decision at UFC 276 to make his fourth featherweight title defense?,Max Holloway,Easy,"Volkanovski edged Holloway in their trilogy fight at UFC 276 in July 2022, winning a unanimous decision to retain his featherweight title for the fourth time. The trilogy solidified Volkanovski's status as an all-time great featherweight."
2026-07-20,Who did Conor McGregor knock out in the first round at UFC on Fuel TV 9 to make his highly anticipated UFC debut?,Marcus Brimage,Medium,"McGregor knocked out Brimage with a flurry of strikes at 1:07 of the first round at UFC on Fuel TV 9 in April 2013, earning Knockout of the Night in his promotional debut. He had previously held both the Cage Warriors featherweight and lightweight titles."
2026-07-20,Who did Dominick Cruz defeat by unanimous decision at UFC 199 in their trilogy fight to make his final bantamweight title defense?,Urijah Faber,Medium,"Cruz completed the trilogy against his longtime rival Faber at UFC 199, winning by unanimous decision to retain his title. It was Faber's last shot at the bantamweight title after three failed attempts against Cruz."
2026-07-20,"What fighter had this four-fight winning streak: Split Decision over Aljamain Sterling, Split Decision over Marlon Moraes, KO over Matthew Lopez, and Unanimous Decision over Rob Font?",Cory Sandhagen,Hard,"Sandhagen went on this impressive bantamweight run, defeating three fighters who all went on to championship contention — Sterling (future champion), Moraes (former title challenger), and Font — to establish himself as the top contender in the division."
2026-07-22,Which fighter is nicknamed Big Nog?,Antonio Rodrigo Nogueira,Easy,Nogueira is a Brazilian legend famous for his world-class Brazilian jiu-jitsu and his incredible ability to survive punishment and submit opponents.
2026-07-22,Who did Cain Velasquez defeat by TKO to win back the UFC heavyweight title and win the trilogy at UFC 166?,Junior dos Santos,Easy,"Velasquez stopped Junior dos Santos in round 5 at UFC 166 in October 2013 to win the trilogy and reclaim the heavyweight title. After losing his title to JDS at UFC on Fox 1, Cain won the rematch at UFC 155 and completed the trilogy at UFC 166."
2026-07-22,Who did Alistair Overeem defeat at UFC 141 in his UFC debut?,Brock Lesnar,Medium,"Overeem made his UFC debut at UFC 141 in December 2011, knocking out Lesnar in round 1 with a combination of body kicks and punches. The win over the former UFC heavyweight champion announced Overeem as a serious title contender immediately."
2026-07-22,Who did Valentina Shevchenko defeat by unanimous decision at UFC on Fox 23 to earn a UFC flyweight title shot?,Julianna Pena,Medium,"Shevchenko defeated Pena by unanimous decision at UFC on Fox 23 in January 2018, earning her flyweight title shot. She went on to dominate Joanna Jedrzejczyk at UFC 231 to win the inaugural flyweight championship."
2026-07-22,Who is the only fighter to hold wins over Rich Franklin and Frank Shamrock?,Cung Le,Hard,"Le defeated Frank Shamrock by TKO in round 3 at Strikeforce in March 2008 to win the Strikeforce Middleweight Championship, then knocked out Rich Franklin in the first round at UFC on Fuel TV 6 in November 2012. He is the only fighter to hold wins over both men."
2026-07-25,Who did Rashad Evans defeat by controversial split decision at UFC 78 to earn his UFC light heavyweight title shot?,Michael Bisping,Easy,"Evans edged Bisping 2-1 on the judges' scorecards at UFC 78 in a fight most felt was very close. Two judges gave it to Evans, one to Bisping. Evans went on to win the light heavyweight title at UFC 92 by knocking out Forrest Griffin."
2026-07-25,Who is the only fighter to defeat Lyoto Machida twice?,Phil Davis,Easy,"Davis defeated Machida twice: by split decision at UFC on Fox 4 in 2012, and again at Bellator 179 in 2017 by unanimous decision. He is the only fighter to have beaten Machida twice across their careers."
2026-07-25,Who did Demetrious Johnson defeat by unanimous decision at UFC on Fox 24 to tie Anderson Silva's record for consecutive UFC title defenses?,Wilson Reis,Medium,"Johnson defeated Reis by unanimous decision at UFC on Fox 24 in April 2017, making his tenth consecutive flyweight title defense to tie Anderson Silva's record. He broke it with a flying armbar finish of Ray Borg at UFC 216."
2026-07-25,"Who did Magomed Ankalaev defeat by TKO at UFC 277, ultimately earning a shot at the vacant light heavyweight title?",Anthony Smith,Medium,"Ankalaev stopped Smith by TKO in round 2 at UFC 277 in July 2022, earning the light heavyweight title shot. He fought Jiri Prochazka for the vacant title at UFC 282 and the fight ended in a split draw, with both men leaving without the belt."
2026-07-25,Who did Anderson Silva defeat at UFC 82 to make his third UFC middleweight title defense?,Dan Henderson,Hard,Silva submitted Henderson with a rear naked choke in the second round at UFC 82 in a title unification bout against the Pride FC welterweight champion. It was Henderson's first loss in the UFC.
2026-07-27,Who did Cris Cyborg defeat at UFC 198 in her UFC debut?,Leslie Smith,Easy,"Cyborg made her UFC debut at UFC 198 in Curitiba, Brazil in May 2016, stopping Smith via TKO in round 1. It was the first UFC women's featherweight bout and Cyborg was dominant, leading to her eventual inaugural UFC featherweight title win against Tonya Evinger."
2026-07-27,Who did Robbie Lawler defeat in a bloody five round war to make his first UFC welterweight title defense at UFC 195?,Carlos Condit,Easy,Lawler defeated Condit in a five round classic at UFC 195 in one of the most entertaining welterweight title fights in history with both men landing heavy shots throughout.
2026-07-27,Who did Kamaru Usman defeat via TKO to make his third UFC welterweight title defense?,Gilbert Burns,Medium,"Usman finished Burns via TKO in round 3 at UFC 258 in February 2021. Burns had landed some early offense and dropped Usman momentarily, but Usman recovered and dominated the remainder of the fight."
2026-07-27,Who did Paddy Pimblett defeat in his UFC debut at UFC Fight Night 193 after being knocked down early in the fight?,Luigi Vendramini,Medium,Pimblett was dropped early by Vendramini but came back to finish him by TKO in the first round at UFC Fight Night 193. The dramatic comeback made him an instant fan favourite in the UFC.
2026-07-27,Who is the only fighter to hold wins over both Iuri Alcantara and Renan Barao?,Brian Kelleher,Hard,Kelleher defeated both of the Brazilian bantamweight standouts during his UFC tenure — beating Alcantara and former longtime UFC interim bantamweight champion Barao — making him the only fighter to hold wins over both men.
2026-07-29,"A former Fight Night Global Heavyweight Champion, this future title contender lost his UFC debut to Alistair Overeem.",Sergei Pavlovich,Easy,"Pavlovich held the Fight Night Global Heavyweight Championship before joining the UFC, where he lost his debut to Overeem by TKO in round 1 at UFC Fight Night 130 in May 2018. He went on to win 9 straight UFC bouts, knocking out Tom Aspinall to become the interim heavyweight champion at UFC 295."
2026-07-29,Who did Quinton Jackson defeat to win the UFC light heavyweight title at UFC 71?,Chuck Liddell,Easy,Jackson knocked out Liddell with a massive right hand at UFC 71 to win the light heavyweight title avenging a previous stoppage loss and cementing himself as a UFC champion.
2026-07-29,Who did Matt Hughes defeat by TKO in the first round to make his first UFC welterweight title defense at UFC 63?,BJ Penn,Medium,"Hughes dominated Penn in their rematch at UFC 63 in September 2006, stopping him with ground-and-pound in round 1 in his first title defense of his second reign. It was a one-sided rematch after their first meeting at UFC 46 went to Penn."
2026-07-29,Who did Weili Zhang dominate by unanimous decision at UFC 312 to make her third consecutive strawweight title defense?,Tatiana Suarez,Medium,"Zhang dominated the previously unbeaten Suarez at UFC 312 in Sydney, outwrestling the elite wrestler and outstriking her 251-61 to win 49-46, 49-46, 49-45. Zhang successfully defended 14 of Suarez's 15 takedown attempts."
2026-07-29,Who did Cain Velasquez defeat by TKO in his second UFC fight at UFC Fight Night 14?,Jake O'Brien,Hard,Velasquez stopped O'Brien in the first round at UFC Fight Night 14 to improve to 2-0 in the UFC. He went on to KO Nogueira to earn a shot at Brock Lesnar and won the UFC heavyweight title at UFC 121.
2026-08-01,Who did Henry Cejudo defeat by split decision to win the UFC flyweight title at UFC 227?,Demetrious Johnson,Easy,Cejudo defeated Johnson in one of the closest title fights in flyweight history at UFC 227 ending Johnson's record-setting 11-defense reign to become the new champion.
2026-08-01,"What fighter went 31-1 (1 NC) to start his career, before losing to future UFC Heavyweight Champion Fabricio Werdum?",Fedor Emelianenko,Easy,"Fedor compiled a record of 31-1-1 NC before suffering a shock submission loss to Werdum at Strikeforce: Fedor vs. Werdum in June 2010. Werdum, who went on to win the UFC heavyweight title, caught the seemingly invincible Fedor in a triangle armbar."
2026-08-01,Who did Vicente Luque finish in the first round at UFC 260 in one of the most impressive performances of his career?,Tyron Woodley,Medium,Luque finished Woodley in round 1 at UFC 260 in March 2021 in one of the most dominant performances of his career. The finish was so complete it shot Luque into the upper echelon of the welterweight division.
2026-08-01,Who did Amanda Ribas submit by armbar in the first round at UFC 251 on Fight Island?,Paige VanZant,Medium,Ribas submitted VanZant with an armbar at UFC 251 on Fight Island to remain undefeated in the UFC and position herself as a strawweight contender. She later earned a title shot against Rose Namajunas.
2026-08-01,"What fighter had this four-fight winning streak: Unanimous Decision over Kevin Holland, TKO over Eryk Anders, KO over Jimi Manuwa, and TKO over Jan Blachowicz?",Thiago Santos,Hard,"Santos went on this run through the light heavyweight division to earn a UFC light heavyweight title shot against Jon Jones at UFC 239. Despite fighting with torn ligaments in both knees suffered during the fight, Santos came close to defeating Jones in one of the closest title fights in divisional history."
2026-08-03,Who did Francis Ngannou knock out in the second round to win the UFC heavyweight title at UFC 260?,Stipe Miocic,Easy,Ngannou finished Miocic with his devastating punching power in the second round at UFC 260 avenging his lopsided loss in their first fight and fulfilling his remarkable journey from poverty in Cameroon to world champion.
2026-08-03,Which fighter is nicknamed Bam Bam?,Tai Tuivasa,Easy,Tuivasa earned his nickname for his explosive knockout power and his love of celebrating wins by doing a shoey drinking from a shoe.
